player	sg_total	sg_ott	sg_approach	sg_arg	sg_putting
Scottie Scheffler	1.868	0.623	0.08	0.618	0.547
Rory McIlroy	1.785	0.799	0.748	0.386	-0.148
Cameron Young	1.574	0.699	0.499	0.063	0.313
Matt Fitzpatrick	1.584	0.549	0.81	0.309	-0.083
Wyndham Clark					
Russell Henley	1.186	0.136	0.313	0.199	0.537
Chris Gotterup	1.335	0.579	0.436	0.296	0.023
Sam Burns	0.532	0.269	-0.012	-0.35	0.625
Tommy Fleetwood	1.343	0.435	0.459	0.712	-0.263
Xander Schauffele					
Collin Morikawa	1.53	0.542	1.066	0.039	-0.116
J.J. Spaun					
Viktor Hovland					
Si Woo Kim	1.236	0.572	0.912	0.142	-0.39
Jon Rahm					
Justin Rose	0.552	-0.283	0.755	-0.09	0.17
Aaron Rai	-0.448	-0.088	0.094	-0.016	-0.437
Ludvig Aberg	1.54	0.497	0.397	0.42	0.227
Robert MacIntyre	1.397	0.655	-0.247	0.12	0.869
Jacob Bridgeman	1.933	0.245	0.501	-0.152	1.339
Alex Noren	0.774	-0.165	-0.073	0.498	0.514
Ryan Fox					
Ryan Gerard	0.94	0.3	0.712	-0.276	0.204
Tyrrell Hatton					
Justin Thomas					
Ben Griffin	0.23	-0.264	-0.115	0.454	0.156
Hideki Matsuyama	1.197	-0.099	0.635	0.39	0.271
Patrick Cantlay	0.772	0.437	0.146	0.247	-0.059
Patrick Reed					
Min Woo Lee					
Haotong Li					
Michael Brennan					
Kristoffer Reitan					
Akshay Bhatia	1.646	-0.044	0.792	0.168	0.73
Sepp Straka					
Bryson DeChambeau					
Kurt Kitayama	0.474	0.212	0.728	-0.239	-0.227
Shane Lowry	0.944	0.206	0.474	-0.085	0.348
Nicolai Hojgaard					
Gary Woodland	0.682	0.678	-0.031	-0.397	0.432
Harris English	0.7	0.433	-0.214	-0.146	0.627
Adam Scott					
Maverick McNealy	0.994	0.31	0.176	0.221	0.286
Keegan Bradley	-0.216	0.167	-0.469	0.272	-0.186
Jake Knapp	2.002	0.264	0.342	0.111	1.285
Marco Penge					
Corey Conners	0.188	0.211	0.622	-0.136	-0.509
Jordan Spieth	0.704	-0.053	0.412	0.129	0.217
Sungjae Im	0.162	-0.101	-0.24	0.307	0.197
Nico Echavarria	-0.509	-0.118	0.073	-0.421	-0.043
Sam Stevens					
Daniel Berger	0.456	0.125	0.849	-0.415	-0.103
Michael Kim	-0.04	-0.36	-0.114	0.121	0.312
Brian Harman	-0.609	-0.246	-0.108	0.132	-0.387
Johnny Keefer	-0.209	0.621	0.331	-0.43	-0.731
Harry Hall	0.6	-0.24	-0.152	0.538	0.455
Casey Jarvis					
Jason Day	0.74	0.153	-0.352	0.457	0.482
Rasmus Neergaard-Petersen					
Rasmus Hojgaard					
Max Homa	-0.039	-0.035	0.25	-0.21	-0.045
Matt McCarty					
Andrew Novak					
Sami Valimaki					
Nick Taylor	0.552	-0.253	0.408	0.503	-0.106
Max Greyserman	-0.795	-0.675	-0.273	-0.068	0.221
Aldrich Potgieter					
Tom McKibbin					
Brooks Koepka					
Davis Riley					
Sergio Garcia					
Cameron Smith					
Brian Campbell	-2.001	-0.79	-0.753	-0.364	-0.093
Carlos Ortiz					
Dustin Johnson					
Danny Willett					
Zach Johnson					
Naoyuki Kataoka					
Bubba Watson					
Charl Schwartzel					
Angel Cabrera					
Fred Couples					
Vijay Singh					
Mike Weir					
Jose Maria Olazabal					
Ethan Fang					
Jackson Herrington					
Brandon Holtz					
Mason Howell					
Fifa Laopakdee					
Mateo Pulcini					
