player,owgr
Scottie Scheffler,1
Rory McIlroy,2
Cameron Young,3
Matt Fitzpatrick,4
Wyndham Clark,5
Russell Henley,6
Chris Gotterup,7
Sam Burns,8
Tommy Fleetwood,9
Xander Schauffele,10
Collin Morikawa,11
J.J. Spaun,12
Viktor Hovland,13
Si Woo Kim,14
Jon Rahm,15
Justin Rose,16
Aaron Rai,17
Ludvig Aberg,18
Robert MacIntyre,19
Jacob Bridgeman,20
Alex Noren,21
Ryan Fox,22
Ryan Gerard,23
Tyrrell Hatton,24
Justin Thomas,25
Ben Griffin,26
Hideki Matsuyama,27
Patrick Cantlay,28
Patrick Reed,29
Min Woo Lee,30
Haotong Li,
Michael Brennan,32
Kristoffer Reitan,33
Akshay Bhatia,34
Sepp Straka,35
Bryson DeChambeau,38
Kurt Kitayama,39
Shane Lowry,40
Nicolai Hojgaard,42
Gary Woodland,43
Harris English,44
Adam Scott,45
Maverick McNealy,48
Keegan Bradley,50
Jake Knapp,51
Marco Penge,53
Corey Conners,55
Jordan Spieth,59
Sungjae Im,60
Nico Echavarria,61
Sam Stevens,62
Daniel Berger,63
Michael Kim,64
Brian Harman,65
Johnny Keefer,66
Harry Hall,68
Casey Jarvis,70
Jason Day,71
Rasmus Neergaard-Petersen,72
Rasmus Hojgaard,74
Max Homa,75
Matt McCarty,76
Andrew Novak,81
Sami Valimaki,84
Nick Taylor,85
Max Greyserman,87
Aldrich Potgieter,89
Tom McKibbin,119
Brooks Koepka,128
Davis Riley,132
Sergio Garcia,137
Cameron Smith,142
Brian Campbell,172
Carlos Ortiz,186
Dustin Johnson,251
Danny Willett,365
Zach Johnson,407
Naoyuki Kataoka,409
Bubba Watson,416
Charl Schwartzel,733
Angel Cabrera,
Fred Couples,
Vijay Singh,
Mike Weir,
Jose Maria Olazabal,
Ethan Fang,
Jackson Herrington,
Brandon Holtz,
Mason Howell,
Fifa Laopakdee,
Mateo Pulcini,
